,city,status,date,lat,lon
517,Виляны,rescued,1944-07-28,56.55278,26.92528
518,Винники,occupied,1941-06-30,49.81556,24.12972
519,Винники,rescued,1944-07-27,49.81556,24.12972
520,Винница,occupied,1941-07-21,49.23333,28.46667
521,Винница,rescued,1944-03-20,49.23333,28.46667
523,Вирбалис,rescued,1944-10-17,54.6242722,22.8180611
524,Витебск,occupied,1941-07-11,55.18333,30.16667
525,Витебск,rescued,1944-06-26,55.18333,30.16667
526,Владимир-Волынский,occupied,1941-06-23,50.5053,24.192
527,Владимир-Волынский,rescued,1944-07-20,50.5053,24.192
528,Вознесенск,occupied,1941-08-07,47.5725,31.31194
529,Вознесенск,rescued,1944-03-24,47.5725,31.31194
530,Волковыск,occupied,1941-06-28,53.16667,24.46667
531,Волковыск,rescued,1944-07-14,53.16667,24.46667
532,Волноваха,occupied,1941-10-13,47.59778,37.48361
533,Волноваха,rescued,1943-09-10,47.59778,37.48361
534,Волоколамск,occupied,1941-10-27,56.03333,35.95
535,Волоколамск,rescued,1941-12-20,56.03333,35.95
536,Воропоново,occupied,1942-09-03,48.68667,44.32111
537,Воропоново,rescued,1943-01-22,48.68667,44.32111
538,Ворошиловград,occupied,1942-07-17,48.58333,39.33333
539,Ворошиловград,rescued,1943-02-14,48.58333,39.33333
540,Коммунарск,occupied,1942-07-13,48.46722,38.79833
541,Коммунарск,rescued,1943-09-02,48.46722,38.79833
542,Ставрополь,occupied,1942-08-05,45.03333,41.96667
543,Ставрополь,rescued,1943-01-21,45.03333,41.96667
